id,command_id,option,description,created_at,updated_at,
1,1,-a,aaaaaaaaaaaaa,2019-04-16 09:43:07,2019-04-16 09:43:07,
2,1,-b,bbbbbbbbbbbb,2019-04-16 09:43:07,2019-04-17 09:43:07,
3,1,-c,cccccccccccccc,2019-04-16 09:43:07,2019-04-18 09:43:07,
4,1,-d,ddddddddddddd,2019-04-16 09:43:07,2019-04-19 09:43:07,
5,1,-f,fffffffffffffffffffffff,2019-04-16 09:43:07,2019-04-20 09:43:07,
6,2,-a,aaaaaaaaaaaaa,2019-04-16 09:43:07,2019-04-16 09:43:07,
7,2,-b,bbbbbbbbbbbb,2019-04-16 09:43:07,2019-04-17 09:43:07,
8,2,-c,cccccccccccccc,2019-04-16 09:43:07,2019-04-18 09:43:07,
9,2,-d,ddddddddddddd,2019-04-16 09:43:07,2019-04-19 09:43:07,
10,2,-f,fffffffffffffffffffffff,2019-04-16 09:43:07,2019-04-20 09:43:07,
11,3,-a,aaaaaaaaaaaaa,2019-04-16 09:43:07,2019-04-16 09:43:07,
12,3,-b,bbbbbbbbbbbb,2019-04-16 09:43:07,2019-04-17 09:43:07,
13,3,-c,cccccccccccccc,2019-04-16 09:43:07,2019-04-18 09:43:07,
14,3,-d,ddddddddddddd,2019-04-16 09:43:07,2019-04-19 09:43:07,
15,3,-f,fffffffffffffffffffffff,2019-04-16 09:43:07,2019-04-20 09:43:07,